prod_id,Review ,Rating,User_id,Sentiment,,,,,,,,
MP01,"Doesn't produce heavy vibrations to rattle your brain, it's subtle so as to have an impact but not destroy tissues and break bones like other products out there",4,267,Positive,,,,,,,,
MP01,The vibration is so less that it is not effective to thr site of pain ,2,90,Negative,,,,,,,,
MP01,Amazing Product,4,40,Positive,,,,,,,,
MP01,battery condition not proper,3,280,Neutral,,,,,,,,
MP01,poor quality,2,81,Negative,,,,,,,,
MP01,not working.,1,257,Negative,,,,,,,,
MP01,suitable and working well,4,263,Positive,,,,,,,,
MP01,exchange the product,3,282,Neutral,,,,,,,,
MP01,not clinically recommended,4,258,Positive,,,,,,,,
MP01,worth the money ,5,33,Positive,,,,,,,,
MP01,massages well,4,298,Positive,,,,,,,,
MP01,heavy model ,2,183,Negative,,,,,,,,
MP01,misleading description,2,242,Negative,,,,,,,,
MP01,life saveer device,5,195,Positive,,,,,,,,
MP01,must buy product,4,21,Positive,,,,,,,,
MP01,Value for money ,4,96,Positive,,,,,,,,
MP01,noticable results,5,28,Positive,,,,,,,,
MP01,defective product,1,32,Negative,,,,,,,,
MP01,flexible and trust worthy,4,63,Positive,,,,,,,,
MP01,excellent massager,3,36,Neutral,,,,,,,,
MP01,very effective,4,196,Positive,,,,,,,,
MP01,miracle worker,5,48,Positive,,,,,,,,
MP01,Not satisfied with the product,2,43,Negative,,,,,,,,
MP01,Very beautiful design and pressure-regualting feature ,4,94,Positive,,,,,,,,
MP01,Very beautiful design and pressure-regualting feature ,4,141,Positive,,,,,,,,
MP01,"Very cheap build, low grade toy plastic material",1,264,Negative,,,,,,,,
MP01,Loved it. Everyone must use it.,5,168,Positive,,,,,,,,
MP01,"Instantly relaxed mind, muscles and body",4,268,Positive,,,,,,,,
MP01,The cost is reasonable as compared to sturdy and durable item on look wise,3,243,Neutral,,,,,,,,
MP01,No side effects and I am fully satisfied with the quality and uses of this item,4,264,Positive,,,,,,,,
MP01,so less vibration it ll not serve the desired purpose ,1,67,Negative,,,,,,,,
MP01,affordable,3,243,Neutral,,,,,,,,
MP01,working fine,5,171,Positive,,,,,,,,
MP01,machine works fine,4,288,Positive,,,,,,,,
MP01,product is okay,5,204,Positive,,,,,,,,
MP01,massages perfectly,4,214,Positive,,,,,,,,
MP01,worst item that can cause pain than relief,1,58,Negative,,,,,,,,
MP01,reasonable pricing ,3,179,Neutral,,,,,,,,
MP01,too heavy to handle,2,106,Negative,,,,,,,,
MP01,loved this product ,4,84,Positive,,,,,,,,
MP01,works wonderfully by creating vibrations,5,274,Positive,,,,,,,,
MP01,fantastic with minor defects,4,71,Positive,,,,,,,,
MP01,can be used for stress relief as well,4,57,Positive,,,,,,,,
MP01,Good quality,4,265,Positive,,,,,,,,
MP01,not working,2,40,Negative,,,,,,,,
MP01,very good massager for price,4,217,Positive,,,,,,,,
MP01,durable and effective,5,59,Positive,,,,,,,,
MP01,bulky item,2,282,Negative,,,,,,,,
MP01,recommend this to all,4,16,Positive,,,,,,,,
MP01,works great as intended ,3,102,Neutral,,,,,,,,
MP01,extremely useful,4,150,Positive,,,,,,,,
MP01,significant benefits,4,195,Positive,,,,,,,,
MP01,less likely to carry around,3,233,Neutral,,,,,,,,
MP01,speed settings should have been better,3,281,Neutral,,,,,,,,
MP01,Must have product,3,113,Neutral,,,,,,,,
MP01,not consumer friendly,2,278,Negative,,,,,,,,
MP01,not happy with the product,1,74,Negative,,,,,,,,
MP01,poor life of product ,1,93,Negative,,,,,,,,
MP01,battery drain quickly ,2,157,Negative,,,,,,,,
MP01,worked well initially ,2,189,Negative,,,,,,,,
MP01,better than hand massager,3,171,Neutral,,,,,,,,
MP01,no movement ,3,136,Neutral,,,,,,,,
MP01,massage is so faint,2,214,Negative,,,,,,,,
MP01,may cause harm to tissue,2,66,Negative,,,,,,,,
MP01,better to use rechargable one than batteries,1,184,Negative,,,,,,,,
MP01,nice and portable,4,229,Positive,,,,,,,,
MP01,really loved this product ,5,207,Positive,,,,,,,,
MP01,received defective product,1,4,Negative,,,,,,,,
MP01,overall satisfied with the product,4,243,Positive,,,,,,,,
MP01,very easy to use,5,214,Positive,,,,,,,,
MP01,excellent quality ,5,226,Positive,,,,,,,,
MP01,battery durablability is less,3,107,Neutral,,,,,,,,
MP01,used for increasing the pain,2,202,Negative,,,,,,,,
MP01,good product ,4,255,Positive,,,,,,,,
MP01,satisfied,4,266,Positive,,,,,,,,
MP01,product works fine,5,152,Positive,,,,,,,,
MP01,could have been bit more strong vibrations,3,68,Neutral,,,,,,,,
MP01,value for money,5,42,Positive,,,,,,,,
MP01,not recommended,2,211,Negative,,,,,,,,
MP01,this product doesn? serve the purpose,3,20,Neutral,,,,,,,,
MP01,vibration is so strong it hurts,3,51,Neutral,,,,,,,,
MP01,not easy to use,2,245,Negative,,,,,,,,
MP01,heavy weight doesn? reduce pain,1,286,Negative,,,,,,,,
MP01,not satisfied,1,96,Negative,,,,,,,,
MP01,waste of money,1,12,Negative,,,,,,,,
MP01,unable to return product ,2,212,Negative,,,,,,,,
MP01,easy to change heads,4,89,Positive,,,,,,,,
MP01,product is durable ,3,290,Neutral,,,,,,,,
MP01,The weight is just perfect and good design,5,92,Positive,,,,,,,,
MP01,"overall, feels nice, quality looks good",4,237,Positive,,,,,,,,
MP01,maybe the vibrations could have been a bit more strong,4,283,Positive,,,,,,,,
MP01,One should buy as it's travel friendly and gives relief from pain too,5,260,Positive,,,,,,,,
MP01,Do not use on head as it's vibrator and not good for head massage,3,3,Neutral,,,,,,,,
MP01,got used to this product and it's performance is very good.,4,182,Positive,,,,,,,,
MP01,finding this uncomfortable to use as I never used such device,2,216,Negative,,,,,,,,
MP01,No need to use high pressure to work it,3,56,Neutral,,,,,,,,
MP01,Happy with the product,5,57,Positive,,,,,,,,
MP01,"It is good mild massager, gives temporary relief,",3,229,Neutral,,,,,,,,
MP01,I really felt improvement in headache.,4,166,Positive,,,,,,,,
MP01,works great as intended ,4,200,Positive,,,,,,,,
MP01,most helpful,5,17,Positive,,,,,,,,
MP01,great pain relieve massager,4,131,Positive,,,,,,,,
MP01,a little heavy product ,3,158,Neutral,,,,,,,,
MP01,product built of good quality,4,249,Positive,,,,,,,,
MP01,Good quality,4,100,Positive,,,,,,,,
MP01,don? buy ,1,186,Negative,,,,,,,,
MP01,good relief temmporarily ,2,1,Negative,,,,,,,,
MP01,highly recommended,5,282,Positive,,,,,,,,
MP01,great experience works like magic,4,49,Positive,,,,,,,,
MP01,self usage is difficult,2,103,Negative,,,,,,,,
MP01,user friendly,4,95,Positive,,,,,,,,
MP01,performance is great,5,124,Positive,,,,,,,,
MP01,not happy with it ,2,151,Negative,,,,,,,,
MP01,"don? buy it, causes harm to bones",1,9,Negative,,,,,,,,
MP01,worth its price,4,135,Positive,,,,,,,,
MP01,wonderful product,5,255,Positive,,,,,,,,
MP01,very satisfied with product ,4,29,Positive,,,,,,,,
MP01,durable product ,4,200,Positive,,,,,,,,
MP01,happy and satisfied,5,275,Positive,,,,,,,,
MP01,bad product,1,211,Negative,,,,,,,,
MP01,good massager within budget,4,188,Positive,,,,,,,,
MP01,very good product,5,144,Positive,,,,,,,,
MP01,all features are excellent ,4,145,Positive,,,,,,,,
MP01,effective results,4,11,Positive,,,,,,,,
MP01,happy with the purchase,5,95,Positive,,,,,,,,
MP01,very effective ,5,88,Positive,,,,,,,,
MP01,instant relief,4,32,Positive,,,,,,,,
MP01,releives muscular pain,4,23,Positive,,,,,,,,
MP01,found it good for the price ,4,57,Positive,,,,,,,,
MP01,not easy to use,3,41,Neutral,,,,,,,,
MP01,soothing effect,4,36,Positive,,,,,,,,
MP01,best massager,5,135,Positive,,,,,,,,
MP01,heavy vibrations,3,39,Neutral,,,,,,,,
MP01,product is good and sturdy ,4,258,Positive,,,,,,,,
MP01,just buy it ,4,50,Positive,,,,,,,,
MP01,super happy with product ,4,63,Positive,,,,,,,,
MP01,not recommended,1,275,Negative,,,,,,,,
MP01,product is awesome,4,150,Positive,,,,,,,,
MP01,durable and economic ,4,29,Positive,,,,,,,,
MP01,great product for great price,4,128,Positive,,,,,,,,
MP01,found it very satisfying,3,208,Neutral,,,,,,,,
MP01,gives nice massage,4,222,Positive,,,,,,,,
MP01,definitely worth buying,5,185,Positive,,,,,,,,
MP01,experience not so soothing,2,279,Negative,,,,,,,,
MP01,"relaxes muscles,love it",4,282,Positive,,,,,,,,
MP01,easy to use,4,287,Positive,,,,,,,,
MP01,overall nice prroduct,5,127,Positive,,,,,,,,
MP01,very convenient,4,238,Positive,,,,,,,,
MP01,not comfortable product ,2,269,Negative,,,,,,,,
MP01,totally worth it ,4,229,Positive,,,,,,,,
MP01,value for money ,3,166,Neutral,,,,,,,,
MP01,less vibrations,3,278,Neutral,,,,,,,,
MP01,not a great product,1,51,Negative,,,,,,,,
MP01,buy this product,4,35,Positive,,,,,,,,
MP01,good but not good enough,3,166,Neutral,,,,,,,,
MP01,works like charm,5,180,Positive,,,,,,,,
MP01,loved the overall product,5,289,Positive,,,,,,,,
MP01,relieve pain ,4,45,Positive,,,,,,,,
MP01,nice product,4,300,Positive,,,,,,,,
MP01,cost effective,4,271,Positive,,,,,,,,
MP01,good enough for the price,4,9,Positive,,,,,,,,
MP01,awesome quality,5,29,Positive,,,,,,,,
MP01,speed control measurements makes it easy to use,4,3,Positive,,,,,,,,
MP01,comfortable,5,247,Positive,,,,,,,,
MP01,east to use ,4,59,Positive,,,,,,,,
MP01,flaw is the mesh cover,3,198,Neutral,,,,,,,,
MP01,it might hurt your skin,2,210,Negative,,,,,,,,
MP01,good product over effective price,4,267,Positive,,,,,,,,
MP01,the product is excellent,5,215,Positive,,,,,,,,
MP01,worth the money,4,228,Positive,,,,,,,,
MP01,best among other massagers,5,243,Positive,,,,,,,,
MP01,good massager ,5,227,Positive,,,,,,,,
MP01,affordable,4,35,Positive,,,,,,,,
MP01,massages perfectly ,4,63,Positive,,,,,,,,
MP01,too heavy to hold,3,78,Neutral,,,,,,,,
MP01,working fine,4,290,Positive,,,,,,,,
MP01,great hand held massager,5,286,Positive,,,,,,,,
MP01,works for long time,5,91,Positive,,,,,,,,
MP01,handle should have been long,4,257,Positive,,,,,,,,
MP01,vibration speed is steady,4,125,Positive,,,,,,,,
MP01,doesn? irritate the skin,3,190,Neutral,,,,,,,,
MP01,effective massager,4,54,Positive,,,,,,,,
MP01,excellent product,5,183,Positive,,,,,,,,
MP01,"it hurts ,more pressure",2,210,Negative,,,,,,,,
MP01,so relieving,4,298,Positive,,,,,,,,
MP01,excellent product,5,230,Positive,,,,,,,,
MP01,not recommended,1,65,Negative,,,,,,,,
MP01,sturdy and good finishing,4,201,Positive,,,,,,,,
MP01,must buy ,5,73,Positive,,,,,,,,
MP01,no return only replacement,3,164,Neutral,,,,,,,,
MP01,worth every penny,5,11,Positive,,,,,,,,
MP01,cant do it by yourself,2,181,Negative,,,,,,,,
MP01,doesn? reduce pain,2,206,Negative,,,,,,,,
MP01,difficult to change mode,2,267,Negative,,,,,,,,
MP01,easy to use,5,124,Positive,,,,,,,,
MP01,effective massager,5,55,Positive,,,,,,,,
MP01,works beyond my expectation,5,129,Positive,,,,,,,,
MP01,doesn? produce noise,2,240,Negative,,,,,,,,
MP01,performs well,4,110,Positive,,,,,,,,
MP01,value for money,4,213,Positive,,,,,,,,
MP01,durability is awesome,4,8,Positive,,,,,,,,
MP01,overall good ,4,249,Positive,,,,,,,,
MP01,worth your penny ,4,169,Positive,,,,,,,,
MP01,worth it ,4,194,Positive,,,,,,,,
MP01,reasonably good ,4,271,Positive,,,,,,,,
MP01,great product for great price,5,54,Positive,,,,,,,,
MP01,best price best quality,5,122,Positive,,,,,,,,
MP01,reasonable product for its price,4,271,Positive,,,,,,,,
MP01,pretty good,4,276,Positive,,,,,,,,
MP01,low quality,1,118,Negative,,,,,,,,
MP01,worst item ,1,282,Negative,,,,,,,,
MP01,works well,4,224,Positive,,,,,,,,
MP01,satisfactory product,3,218,Neutral,,,,,,,,
MP01,highly recommended,5,128,Positive,,,,,,,,
MP01,satisfied with the product ,3,217,Neutral,,,,,,,,
MP01,worth buying ,4,206,Positive,,,,,,,,
MP01,just ok product ,3,179,Neutral,,,,,,,,
MP01,vibrations too hard,3,275,Neutral,,,,,,,,
MP01,nice product,4,104,Positive,,,,,,,,
MP01,upto expectations,4,1,Positive,,,,,,,,
MP01,looks bulky but not heavy,3,268,Neutral,,,,,,,,
MP01,easy to carry ,4,91,Positive,,,,,,,,
MP01,useful product ,4,115,Positive,,,,,,,,
MP01,speed control feature is good ,4,289,Positive,,,,,,,,
MP01,energize with each massage,4,217,Positive,,,,,,,,
MP01,not so difficult to use ,2,134,Negative,,,,,,,,
MP01,overall good ,4,119,Positive,,,,,,,,
MP01,worth the money,4,153,Positive,,,,,,,,
MP01,best product ,5,249,Positive,,,,,,,,
MP01,good product,4,114,Positive,,,,,,,,
MP01,very useful product ,4,186,Positive,,,,,,,,
MP01,releif from mild pain,3,41,Neutral,,,,,,,,
MP01,wonderful product,5,164,Positive,,,,,,,,
MP01,satisfying,3,207,Neutral,,,,,,,,
MP01,simple and easy to use ,4,122,Positive,,,,,,,,
MP01,worth buying ,4,182,Positive,,,,,,,,
MP01,everyone can use ,4,286,Positive,,,,,,,,
MP01,worked well,4,114,Positive,,,,,,,,
