prod_id,text,Rating,User_id,prodSentiment,timestamp
MP01,"Doesn't produce heavy vibrations to rattle your brain, it's subtle so as to have an impact but not destroy tissues and break bones like other products out there",4,267,Positive,964982703
MP01,The vibration is so less that it is not effective to thr site of pain ,2,90,Negative,964981247
MP01,Amazing Product,4,40,Positive,964982224
MP01,battery condition not proper,3,280,Neutral,964983815
MP01,poor quality,2,81,Negative,964982931
MP01,not working.,1,257,Negative,964982400
MP01,suitable and working well,4,263,Positive,964980868
MP01,exchange the product,3,282,Neutral,964982176
MP01,not clinically recommended,4,258,Positive,964984041
MP01,worth the money ,5,33,Positive,964984100
MP01,massages well,4,298,Positive,964983650
MP01,heavy model ,2,183,Negative,964981208
MP01,misleading description,2,242,Negative,964980985
MP01,life saveer device,5,195,Positive,964981179
MP01,must buy product,4,21,Positive,964980908
MP01,Value for money ,4,96,Positive,964981680
MP01,noticable results,5,28,Positive,964982967
MP01,defective product,1,32,Negative,964982310
MP01,flexible and trust worthy,4,63,Positive,964981179
MP01,excellent massager,3,36,Neutral,964982563
MP01,very effective,4,196,Positive,964980962
MP01,miracle worker,5,48,Positive,964982588
MP01,Not satisfied with the product,2,43,Negative,964981710
MP01,Very beautiful design and pressure-regualting feature ,4,94,Positive,964982363
MP01,Very beautiful design and pressure-regualting feature ,4,141,Positive,964980868
MP01,"Very cheap build, low grade toy plastic material",1,264,Negative,964981909
MP01,Loved it. Everyone must use it.,5,168,Positive,964982346
MP01,"Instantly relaxed mind, muscles and body",4,268,Positive,964981208
MP01,The cost is reasonable as compared to sturdy and durable item on look wise,3,243,Neutral,964984002
MP01,No side effects and I am fully satisfied with the quality and uses of this item,4,264,Positive,964981179
MP01,so less vibration it ll not serve the desired purpose ,1,67,Negative,964982653
MP01,affordable,3,243,Neutral,964984153
MP01,working fine,5,171,Positive,964982546
MP01,machine works fine,4,288,Positive,964982271
MP01,product is okay,5,204,Positive,964983793
MP01,massages perfectly,4,214,Positive,964982838
MP01,worst item that can cause pain than relief,1,58,Negative,964982931
MP01,reasonable pricing ,3,179,Neutral,964982563
MP01,too heavy to handle,2,106,Negative,964982838
MP01,loved this product ,4,84,Positive,964981775
MP01,works wonderfully by creating vibrations,5,274,Positive,964982400
MP01,fantastic with minor defects,4,71,Positive,964982653
MP01,can be used for stress relief as well,4,57,Positive,964984086
MP01,Good quality,4,265,Positive,964980499
MP01,not working,2,40,Negative,964982475
MP01,very good massager for price,4,217,Positive,964981529
MP01,durable and effective,5,59,Positive,964982176
MP01,bulky item,2,282,Negative,964983614
MP01,recommend this to all,4,16,Positive,964983219
MP01,works great as intended ,3,102,Neutral,964981775
MP01,extremely useful,4,150,Positive,964982681
MP01,significant benefits,4,195,Positive,964982876
MP01,less likely to carry around,3,233,Neutral,964982791
MP01,speed settings should have been better,3,281,Neutral,964982855
MP01,Must have product,3,113,Neutral,964982903
MP01,not consumer friendly,2,278,Negative,964982653
MP01,not happy with the product,1,74,Negative,964982791
MP01,poor life of product ,1,93,Negative,964981179
MP01,battery drain quickly ,2,157,Negative,964982400
MP01,worked well initially ,2,189,Negative,964980924
MP01,better than hand massager,3,171,Neutral,964981680
MP01,no movement ,3,136,Neutral,964981327
MP01,massage is so faint,2,214,Negative,964982951
MP01,may cause harm to tissue,2,66,Negative,964984018
MP01,better to use rechargable one than batteries,1,184,Negative,964983484
MP01,nice and portable,4,229,Positive,964981680
MP01,really loved this product ,5,207,Positive,964982513
MP01,received defective product,1,4,Negative,964981327
MP01,overall satisfied with the product,4,243,Positive,964981827
MP01,very easy to use,5,214,Positive,964981872
MP01,excellent quality ,5,226,Positive,964981827
MP01,battery durablability is less,3,107,Neutral,964983737
MP01,used for increasing the pain,2,202,Negative,964983250
MP01,good product ,4,255,Positive,964980499
MP01,satisfied,4,266,Positive,964982951
MP01,product works fine,5,152,Positive,964981855
MP01,could have been bit more strong vibrations,3,68,Neutral,964983393
MP01,value for money,5,42,Positive,964981909
MP01,not recommended,2,211,Negative,964981909
MP01,this product doesn? serve the purpose,3,20,Neutral,964984018
MP01,vibration is so strong it hurts,3,51,Neutral,964983618
MP01,not easy to use,2,245,Negative,964983723
MP01,heavy weight doesn? reduce pain,1,286,Negative,964981442
MP01,not satisfied,1,96,Negative,964983414
MP01,waste of money,1,12,Negative,964983599
MP01,unable to return product ,2,212,Negative,964983705
MP01,easy to change heads,4,89,Positive,964982290
