prod_id,Title
,
MP01,Massager and pain Relief
OE02,Ortho elctric heating belt for knee
GB03,Grab Bars
DT04,Digital Thermometer
PO05,Pulse oximeter
WS06,Walking Stick
HA07,Hearing Aids
ROS08,Re freezable orthopaedic support 
N09,Nebulizers
AM10,Accupressure Mat
SC11,Shower Chair with Backrest
SR12,Slip Resistant Shower mat
ABM13,Automatic BP Monitor
DS14,Diagnostic Scale
M15,Multivitamins
BMT16,BP Monitor Tubeless
APM17,Air Pump Mattress
BCW18,Bed Comfort Wedge
PO19,Pill Organiser
WC20,wheel chair
ACS21,Arm Crutch Set
